Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.20.29-52.94.232.195-55962-443-6,192.168.20.29,55962,52.94.232.195,443,6,15/09/2020 04:08:00 PM,392019,8,7,1034.0,548.0,734.0,0.0,129.25,255.28625389662372,396.0,0.0,78.28571428571429,151.1177402840958,4035.5186865942724,38.263451516380584,28001.35714285715,40708.56690523534,123598.0,58.0,392019.0,56002.71428571428,54978.649646064994,129403.0,58.0,293878.0,48979.66666666667,52861.498660808575,126443.0,363.0,0,0,0,0,180,152,20.407174142069643,17.856277374310938,0.0,734.0,98.87499999999999,202.21139928302756,40889.450000000004,1,2,0,6,14,0,0,0,0.0,105.46666666666667,129.25,78.28571428571429,0,0,0,0,6,5025,0,68,0,36,65535,460,4,20,0,0,0,0,1.6001860809327998E15,116809.86673344037,1.600186081129553E15,1.600186080747945E15,No Label
192.168.20.33-52.46.137.70-51180-443-6,192.168.20.33,51180,52.46.137.70,443,6,15/09/2020 04:08:03 PM,401797,8,7,1010.0,548.0,710.0,0.0,126.25000000000001,247.17648408720902,396.0,0.0,78.28571428571429,151.1177402840958,3877.579971975898,37.332284710936115,28699.785714285714,45357.768779370715,131879.0,115.0,401797.0,57399.57142857143,55205.63523426795,132994.0,370.0,317138.0,52856.333333333336,57102.78526890493,134875.0,115.0,0,0,0,0,180,152,19.910551845832597,17.42173286510352,0.0,710.0,97.375,197.2132094967272,38893.05000000001,1,2,0,6,14,0,0,0,0.0,103.86666666666666,126.25,78.28571428571429,0,0,0,0,6,4947,0,67,0,36,65535,460,4,20,0,0,0,0,1.6001860837022302E15,122802.31843786099,1.600186083891146E15,1.600186083502527E15,No Label
192.168.20.33-52.46.137.70-51184-443-6,192.168.20.33,51184,52.46.137.70,443,6,15/09/2020 04:08:06 PM,402733,8,7,1042.0,548.0,742.0,0.0,130.25,257.9948781329915,396.0,0.0,78.28571428571429,151.1177402840958,3948.0251183786777,37.24551998470451,28766.64285714286,44321.04076917235,127349.0,58.0,402733.0,57533.28571428571,55424.44504522737,129575.0,58.0,311800.0,51966.66666666667,55459.265533061895,129711.0,285.0,0,0,0,0,180,152,19.864277325175735,17.38124265952877,0.0,742.0,99.375,203.88947169156788,41570.916666666664,1,2,0,6,14,0,0,0,0.0,106.0,130.25,78.28571428571429,0,0,0,0,6,5004,0,69,0,36,65535,460,4,20,0,0,0,0,1.6001860863887932E15,121734.13021975265,1.600186086581093E15,1.60018608618962E15,No Label
192.168.20.33-52.46.137.70-51182-443-6,192.168.20.33,51182,52.46.137.70,443,6,15/09/2020 04:08:06 PM,414974,8,7,1051.0,548.0,751.0,0.0,131.375,261.045117884684,396.0,0.0,78.28571428571429,151.1177402840958,3853.253456843079,36.14684293473808,29641.0,46731.32221046673,141408.0,59.0,414974.0,59282.0,58283.393598291215,143328.0,59.0,328729.0,54788.166666666664,60852.48816085228,148141.0,126.0,0,0,0,0,180,152,19.27831623186031,16.86852670287777,0.0,751.0,99.9375,205.7841810408824,42347.129166666666,1,2,0,6,14,0,0,0,0.0,106.6,131.375,78.28571428571429,0,0,0,0,6,4842,0,70,0,36,65535,464,4,20,0,0,0,0,1.600186086389323E15,128569.447964415,1.600186086588315E15,1.600186086184747E15,No Label
192.168.20.33-52.46.137.70-51186-443-6,192.168.20.33,51186,52.46.137.70,443,6,15/09/2020 04:08:06 PM,385081,8,7,1033.0,548.0,733.0,0.0,129.125,254.94785881486771,396.0,0.0,78.28571428571429,151.1177402840958,4105.629724655332,38.952843687431994,27505.785714285714,39396.12183408329,123845.0,59.0,385081.0,55011.57142857142,49106.307052004166,125571.0,59.0,308064.0,51344.0,49510.85055217695,125313.0,358.0,0,0,0,0,180,152,20.7748499666304,18.1779937208016,0.0,733.0,98.8125,202.00205238231285,40804.82916666667,1,2,0,6,14,0,0,0,0.0,105.4,129.125,78.28571428571429,0,0,0,0,6,5414,0,68,0,36,65535,460,4,20,0,0,0,0,1.6001860866574048E15,115838.36924486443,1.600186086835847E15,1.600186086463184E15,No Label
192.168.20.33-52.46.137.70-51188-443-6,192.168.20.33,51188,52.46.137.70,443,6,15/09/2020 04:08:06 PM,368630,8,7,1044.0,548.0,744.0,0.0,130.5,258.67243488904757,396.0,0.0,78.28571428571429,151.1177402840958,4318.693540948919,40.691207986327754,26330.714285714286,41190.85178387695,121754.0,56.0,368630.0,52661.428571428565,51418.139289091174,122917.0,56.0,291552.0,48592.0,51239.08967575439,123969.0,439.0,0,0,0,0,180,152,21.701977592708136,18.989230393619618,0.0,744.0,99.5,204.30989533875575,41742.53333333333,1,2,0,6,14,0,0,0,0.0,106.13333333333334,130.5,78.28571428571429,0,0,0,0,6,5463,0,69,0,36,65535,32752,4,20,0,0,0,0,1.6001860871237058E15,112365.83344045757,1.600186087296483E15,1.600186086942706E15,No Label
192.168.20.33-52.46.137.70-51190-443-6,192.168.20.33,51190,52.46.137.70,443,6,15/09/2020 04:08:07 PM,433268,8,8,1043.0,577.0,743.0,0.0,130.37500000000003,258.3336367125715,374.0,0.0,72.125,133.0761731383303,3739.025268425086,36.9286446264206,28884.53333333334,43200.93744165855,132472.0,58.0,433268.0,61895.42857142858,58634.7126875572,134818.0,58.0,348641.0,49805.85714285714,62248.00880999748,151600.0,78.0,0,0,0,0,180,172,18.4643223132103,18.4643223132103,0.0,743.0,95.29411764705881,195.94953582041293,38396.220588235294,1,2,0,7,15,0,0,0,1.0,101.25,130.375,72.125,0,0,0,0,7,4890,0,65,0,36,65535,464,4,20,0,0,0,0,1.600186087504746E15,137952.09430817186,1.600186087697257E15,1.600186087281575E15,No Label
192.168.20.33-52.46.137.70-51190-443-6,192.168.20.33,51190,52.46.137.70,443,6,15/09/2020 04:08:07 PM,82123,2,2,0.0,51.0,0.0,0.0,0.0,0.0,51.0,0.0,25.5,36.062445840513924,621.0196899772293,48.70742666488073,27374.333333333332,25042.343547146967,53918.0,4168.0,58086.0,58086.0,0.0,58086.0,58086.0,28205.0,28205.0,0.0,28205.0,28205.0,0,0,0,0,40,40,24.353713332440364,24.353713332440364,0.0,51.0,10.2,22.807893370497855,520.2,1,0,2,1,2,0,0,0,1.0,12.75,0.0,25.5,0,0,0,0,0,0,0,0,0,12,0,464,0,20,0,0,0,0,1.600186087701628E15,0.0,1.600186087701628E15,1.600186087701628E15,No Label
192.168.20.33-54.239.29.0-42524-443-6,192.168.20.33,42524,54.239.29.0,443,6,15/09/2020 04:08:18 PM,415863,8,7,1011.0,548.0,711.0,0.0,126.37500000000001,247.5138884992113,396.0,0.0,78.28571428571429,151.1177402840958,3748.8307447404554,36.06957098852266,29704.5,43960.89613552551,129036.0,57.0,415863.0,59409.0,58534.48882781273,142930.0,57.0,331666.0,55277.666666666664,56524.72646432414,130511.0,466.0,0,0,0,0,180,152,19.237104527212086,16.832466461310577,0.0,711.0,97.43749999999999,197.42035313850832,38974.79583333333,1,2,0,6,14,0,0,0,0.0,103.93333333333334,126.375,78.28571428571429,0,0,0,0,6,4758,0,67,0,36,65535,32752,4,20,0,0,0,0,1.6001860991586338E15,123814.55510126421,1.600186099352997E15,1.600186098958959E15,No Label
192.168.20.33-54.239.29.0-42530-443-6,192.168.20.33,42530,54.239.29.0,443,6,15/09/2020 04:08:21 PM,390022,8,7,1042.0,548.0,742.0,0.0,130.25,257.9948781329915,396.0,0.0,78.28571428571429,151.1177402840958,4076.6931096194576,38.459368958674126,27858.714285714283,42063.478760684426,122899.0,54.0,390022.0,55717.42857142857,55349.873272535275,138822.0,54.0,309288.0,51548.0,54837.32907062487,124650.0,562.0,0,0,0,0,180,152,20.5116634446262,17.947705514047925,0.0,742.0,99.375,203.88947169156788,41570.916666666664,1,2,0,6,14,0,0,0,0.0,106.0,130.25,78.28571428571429,0,0,0,0,6,5143,0,69,0,36,65535,460,4,20,0,0,0,0,1.600186101289136E15,117948.74343700711,1.600186101477218E15,1.600186101097494E15,No Label
