Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.20.29-52.46.145.172-39100-443-6,192.168.20.29,39100,52.46.145.172,443,6,16/09/2020 03:36:03 PM,8460399,20,19,7638.0,4790.0,1460.0,0.0,381.90000000000003,639.2791087994104,1460.0,0.0,252.10526315789477,496.7958327272932,1468.9614520544478,4.609711669626929,222642.0789473684,1011268.7891428,5986408.0,53.0,6496533.0,341922.78947368416,1376840.5721187498,6025216.0,53.0,8378211.0,465456.1666666666,1459743.2021270546,6006959.0,58.0,0,0,0,0,432,392,2.363954702372784,2.245756967254145,0.0,1460.0,310.70000000000005,565.4710856603976,319757.5487179488,1,2,0,13,38,0,0,0,0.0,318.6666666666667,381.9,252.10526315789474,0,0,0,0,18,36253,0,195,0,122,65535,668,7,20,0,0,0,0,1.6002705635446245E15,1033115.7211646861,1.600270569535891E15,1.600270563099855E15,No Label
192.168.20.15-8.8.4.4-35794-853-6,192.168.20.15,35794,8.8.4.4,853,6,16/09/2020 03:36:35 PM,21203526,14,12,1235.0,2143.0,517.0,0.0,88.21428571428572,142.2431172169831,499.0,0.0,178.58333333333331,240.2477729849799,159.3131255622296,1.2262111499757162,848141.04,3117607.3502527475,1.5017499E7,334.0,2.1203526E7,1631040.4615384615,4249500.36717135,1.5017499E7,334.0,1.6191818E7,1471983.4545454544,4504658.656351164,1.5035559E7,1265.0,0,0,0,0,468,392,0.6602675422946165,0.5659436076810999,0.0,517.0,144.25925925925927,205.2191310231376,42114.891737891725,1,2,0,11,25,0,0,0,0.0,149.80769230769232,88.21428571428571,178.58333333333334,0,0,0,0,11,2886,0,47,0,82,65535,252,6,32,0,0,0,0,1.600270596960518E15,5363323.273811107,1.600270616245661E15,1.600270595048388E15,No Label
192.168.20.15-160.44.198.217-47776-443-6,192.168.20.15,47776,160.44.198.217,443,6,16/09/2020 03:36:35 PM,60273837,11,10,1086.0,4740.0,454.0,0.0,98.72727272727273,158.0361293559741,1318.0,0.0,473.99999999999994,519.2028077308091,96.65885382408955,0.34840987475212504,3013691.85,1.3403926404563628E7,5.9960584E7,54.0,313117.0,31311.699999999997,32696.658810105422,87351.0,582.0,6.0245176E7,6693908.444444444,1.999031900407956E7,6.0001287E7,54.0,0,0,0,0,240,212,0.18250041058444644,0.1659094641676786,0.0,1318.0,264.8181818181818,407.4920550044809,166049.7748917749,1,2,0,9,20,0,0,0,0.0,277.42857142857144,98.72727272727273,474.0,0,0,0,0,10,24510,0,51,0,225,65535,35,4,20,0,0,0,0,1.6002705985238225E15,1.417367247900054E7,1.600270655316211E15,1.600270595086102E15,No Label
192.168.20.12-255.255.255.255-49154-6666-17,192.168.20.12,49154,255.255.255.255,6666,17,16/09/2020 03:36:01 PM,117001835,40,0,7000.0,0.0,175.0,175.0,175.0,0.0,0,0,0,0,59.82812149912008,0.34187497999497185,3000047.0512820515,2087.383402967722,3006801.0,2993778.0,1.17001835E8,3000047.0512820515,2087.383402967722,3006801.0,2993778.0,0,0,0,0,0,0,0,0,0,320,0,0.34187497999497185,0.0,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,179.375,175.0,0.0,0,0,0,0,0,0,1,175,0,0,0,0,39,8,0,0,0,0,1.6002706201814715E15,3.3340229300933618E7,1.600270675682342E15,1.600270564680602E15,No Label
192.168.20.21-35.241.141.243-44466-443-6,192.168.20.21,44466,35.241.141.243,443,6,16/09/2020 03:36:01 PM,119360219,124,124,11248.0,296.0,202.0,0.0,90.70967741935485,25.90061498894698,74.0,0.0,2.387096774193548,13.127708967000519,96.71564024191343,2.077744177061203,483239.7530364374,505150.3629374657,2040960.0,7158.0,1.19352815E8,970348.0894308941,229385.83213431248,2048297.0,36085.0,1.19352851E8,970348.3821138212,229633.8034632004,2048327.0,35941.0,1,0,0,0,3968,3968,1.0388720885306015,1.0388720885306015,0.0,202.0,46.72289156626503,48.74414272166089,2375.9914496696465,0,0,0,124,248,0,0,0,1.0,46.91129032258065,90.70967741935483,2.3870967741935485,0,0,0,0,4,183,0,45,0,1,2881,408,119,32,0,0,0,0,1.600270621991164E15,3.481297713648254E7,1.600270681189816E15,1.600270561865354E15,No Label
192.168.20.14-255.255.255.255-49154-6666-17,192.168.20.14,49154,255.255.255.255,6666,17,16/09/2020 03:36:02 PM,117002503,40,0,7000.0,0.0,175.0,175.0,175.0,0.0,0,0,0,0,59.8277799236483,0.34187302813513315,3000064.179487179,3414.7921711576823,3013205.0,2986875.0,1.17002503E8,3000064.179487179,3414.7921711576823,3013205.0,2986875.0,0,0,0,0,0,0,0,0,0,320,0,0.34187302813513315,0.0,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,179.375,175.0,0.0,0,0,0,0,0,0,1,175,0,0,0,0,39,8,0,0,0,0,1.600270621464049E15,3.334028473359325E7,1.600270676964537E15,1.600270565958454E15,No Label
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/09/2020 03:36:03 PM,113041845,63,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5573157444484386,1823255.5645161292,2267060.5899940603,1.2962663E7,4284.0,1.13041845E8,1823255.5645161292,2267060.5899940603,1.2962663E7,4284.0,0,0,0,0,0,0,0,0,0,0,0,0.5573157444484386,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6002706177296902E15,3.345106428489324E7,1.600270674435882E15,1.600270564451833E15,No Label
192.168.20.18-74.125.140.188-33601-5228-6,192.168.20.18,33601,74.125.140.188,5228,6,16/09/2020 03:36:04 PM,90242618,4,4,27.0,27.0,27.0,0.0,6.75,13.5,27.0,0.0,6.75,13.5,0.5983868952028852,0.08864991040042744,1.2891802571428569E7,2.200638165523114E7,4.5114299E7,1553.0,9.023533E7,3.0078443333333332E7,2.6034509009505678E7,4.5121553E7,16385.0,9.0229793E7,3.0076597666666668E7,2.6045753771633975E7,4.5121587E7,1553.0,1,0,0,0,128,128,0.04432495520021372,0.04432495520021372,0.0,27.0,9.0,13.5,182.25,0,0,0,2,8,0,0,0,1.0,10.125,6.75,6.75,0,0,0,0,0,0,0,3,0,3,406,265,0,32,0,0,0,0,1.6002705947921622E15,3.682990378377002E7,1.60027065493554E15,1.600270564709017E15,No Label
18.194.97.11-192.168.20.27-443-43261-6,18.194.97.11,443,192.168.20.27,43261,6,16/09/2020 03:36:05 PM,115238664,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45123744232230945,2259581.6470588245,2464292.6875977763,5014757.0,827.0,1.15237769E8,4609510.759999999,1180238.197377309,5020055.0,690199.0,1.15237837E8,4609513.480000001,1177463.931399851,5019401.0,701411.0,0,0,0,0,520,520,0.22561872116115472,0.22561872116115472,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,390,2920,0,20,0,0,0,0,1.6002706228096702E15,3.3424508664498743E7,1.600270680694218E15,1.600270565460877E15,No Label
192.168.20.18-239.255.255.251-10101-10101-17,192.168.20.18,10101,239.255.255.251,10101,17,16/09/2020 03:36:05 PM,110059541,12,0,432.0,0.0,36.0,36.0,36.0,0.0,0,0,0,0,3.9251481159638857,0.10903189211010793,1.0005412818181816E7,5730.307458037052,1.0014859E7,9996885.0,1.10059541E8,1.0005412818181816E7,5730.307458037052,1.0014859E7,9996885.0,0,0,0,0,0,0,0,0,0,96,0,0.10903189211010793,0.0,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,39.0,36.0,0.0,0,0,0,0,0,0,1,36,0,0,0,0,11,8,0,0,0,0,1.4547914745737562E15,4.824997436187567E14,1.600270666053666E15,1.0004583E7,No Label
